('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         635329 function calls (610448 primitive calls) in 1.100 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.059    0.029 connection.py:1(<module>)
        1    0.000    0.000    0.033    0.033 dammit.py:67(EntitySubstitution)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.000    0.000 base_events.py:389(BaseEventLoop)
       25    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      107    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       76    0.000    0.000    0.000    0.000 element.py:1363(_all_strings)
        1    0.000    0.000    0.071    0.071 css_parser.py:1(<module>)
       49    0.000    0.000    0.001    0.000 typing.py:1194(__getitem__)
      149    0.000    0.000    0.000    0.000 _receivebuffer.py:56(__bool__)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:51(MissingComponentError)
      151    0.000    0.000    0.000    0.000 _connection.py:218(_server_switch_event)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
      103    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
